id,course_id,course_name,source_id,text,target_source_id,target_ids,target_labels,target_resolution,target_details,image_ids
C01:CALL:1654,C01,高等数学,1654,定积分极限存在则收敛,1653,"[""C01:K:495"",""C01:K:497""]","[""无穷限反常积分"",""无界函数反常积分(瑕积分)""]",boundary_members,"[{""source_id"":""495"",""entity_id"":""C01:K:495"",""label"":""无穷限反常积分"",""resolution"":""direct""},{""source_id"":""497"",""entity_id"":""C01:K:497"",""label"":""无界函数反常积分(瑕积分)"",""resolution"":""direct""}]",[]
C01:CALL:1655,C01,高等数学,1655,单调有界有极限,499,"[""C01:K:499""]","[""方法""]",direct,"[{""source_id"":""499"",""entity_id"":""C01:K:499"",""label"":""方法"",""resolution"":""direct""}]",[]
C01:CALL:1686,C01,高等数学,1686,分离x、y后两端积分,585,"[""C01:K:585""]","[""可分离变量的微分方程""]",direct,"[{""source_id"":""585"",""entity_id"":""C01:K:585"",""label"":""可分离变量的微分方程"",""resolution"":""direct""}]",[]
C01:CALL:1717,C01,高等数学,1717,线性空间的元素,624,"[""C01:K:624""]","[""向量""]",direct,"[{""source_id"":""624"",""entity_id"":""C01:K:624"",""label"":""向量"",""resolution"":""direct""}]",[]
C01:CALL:1762,C01,高等数学,1762,模乘夹角余弦,632,"[""C01:K:632""]","[""投影""]",direct,"[{""source_id"":""632"",""entity_id"":""C01:K:632"",""label"":""投影"",""resolution"":""direct""}]",[]
C01:CALL:1763,C01,高等数学,1763,模为1,1721,"[""C01:K:1721""]","[""单位向量""]",direct,"[{""source_id"":""1721"",""entity_id"":""C01:K:1721"",""label"":""单位向量"",""resolution"":""direct""}]",[]
C01:CALL:1764,C01,高等数学,1764,模为0,1723,"[""C01:K:1723""]","[""零向量""]",direct,"[{""source_id"":""1723"",""entity_id"":""C01:K:1723"",""label"":""零向量"",""resolution"":""direct""}]",[]
C01:CALL:1765,C01,高等数学,1765,自身数量积为模的平方,645,"[""C01:K:645""]","[""数量积""]",direct,"[{""source_id"":""645"",""entity_id"":""C01:K:645"",""label"":""数量积"",""resolution"":""direct""}]",[]
C01:CALL:1769,C01,高等数学,1769,自身向量积为0,646,"[""C01:K:646""]","[""向量积""]",direct,"[{""source_id"":""646"",""entity_id"":""C01:K:646"",""label"":""向量积"",""resolution"":""direct""}]",[]
C01:CALL:1778,C01,高等数学,1778,法向量间夹角,658,"[""C01:K:658""]","[""两平面的夹角""]",direct,"[{""source_id"":""658"",""entity_id"":""C01:K:658"",""label"":""两平面的夹角"",""resolution"":""direct""}]",[]
C01:CALL:1779,C01,高等数学,1779,六面体体积,648,"[""C01:K:648""]","[""混合积""]",direct,"[{""source_id"":""648"",""entity_id"":""C01:K:648"",""label"":""混合积"",""resolution"":""direct""}]",[]
C01:CALL:1780,C01,高等数学,1780,方向向量夹角,684,"[""C01:K:684""]","[""两直线的夹角""]",direct,"[{""source_id"":""684"",""entity_id"":""C01:K:684"",""label"":""两直线的夹角"",""resolution"":""direct""}]",[]
C01:CALL:1781,C01,高等数学,1781,pi/2-法向量与方向向量夹角,690,"[""C01:K:690""]","[""直线与平面夹角""]",direct,"[{""source_id"":""690"",""entity_id"":""C01:K:690"",""label"":""直线与平面夹角"",""resolution"":""direct""}]",[]
C01:CALL:1798,C01,高等数学,1798,消去某一坐标轴,733,"[""C01:K:733""]","[""空间曲线在坐标面上的投影""]",direct,"[{""source_id"":""733"",""entity_id"":""C01:K:733"",""label"":""空间曲线在坐标面上的投影"",""resolution"":""direct""}]",[]
C01:CALL:1801,C01,高等数学,1801,连通开集,804,"[""C01:K:804""]","[""开区域""]",direct,"[{""source_id"":""804"",""entity_id"":""C01:K:804"",""label"":""开区域"",""resolution"":""direct""}]",[]
C01:CALL:1802,C01,高等数学,1802,开区域和它的边界,806,"[""C01:K:806""]","[""闭区域""]",direct,"[{""source_id"":""806"",""entity_id"":""C01:K:806"",""label"":""闭区域"",""resolution"":""direct""}]",[]
C01:CALL:1803,C01,高等数学,1803,R2到R的映射,812,"[""C01:K:812""]","[""二元函数""]",direct,"[{""source_id"":""812"",""entity_id"":""C01:K:812"",""label"":""二元函数"",""resolution"":""direct""}]",[]
C01:CALL:1804,C01,高等数学,1804,点的邻域变为聚点的邻域,814,"[""C01:K:814""]","[""二重极限""]",direct,"[{""source_id"":""814"",""entity_id"":""C01:K:814"",""label"":""二重极限"",""resolution"":""direct""}]",[]
C01:CALL:1809,C01,高等数学,1809,单独增量比极限,830,"[""C01:K:830""]","[""偏导数""]",direct,"[{""source_id"":""830"",""entity_id"":""C01:K:830"",""label"":""偏导数"",""resolution"":""direct""}]",[]
C01:CALL:1831,C01,高等数学,1831,n的分量函数,890,"[""C01:K:890""]","[""一元向量值函数""]",direct,"[{""source_id"":""890"",""entity_id"":""C01:K:890"",""label"":""一元向量值函数"",""resolution"":""direct""}]",[]
C01:CALL:1837,C01,高等数学,1837,偏导数都为0,926,"[""C01:K:926""]","[""必要条件""]",direct,"[{""source_id"":""926"",""entity_id"":""C01:K:926"",""label"":""必要条件"",""resolution"":""direct""}]",[]
C01:CALL:1838,C01,高等数学,1838,根据二阶偏导判断,928,"[""C01:K:928""]","[""充分条件""]",direct,"[{""source_id"":""928"",""entity_id"":""C01:K:928"",""label"":""充分条件"",""resolution"":""direct""}]",[]
C01:CALL:1845,C01,高等数学,1845,两次定积分,1025,"[""C01:K:1025""]","[""化为两次单积分""]",direct,"[{""source_id"":""1025"",""entity_id"":""C01:K:1025"",""label"":""化为两次单积分"",""resolution"":""direct""}]",[]
C01:CALL:1847,C01,高等数学,1847,三次定积分,1059,"[""C01:K:1059""]","[""化为三次单积分""]",direct,"[{""source_id"":""1059"",""entity_id"":""C01:K:1059"",""label"":""化为三次单积分"",""resolution"":""direct""}]",[]
C01:CALL:1854,C01,高等数学,1854,注意体积微元的变换,1848,"[""C01:K:1079"",""C01:K:1080""]","[""直角坐标下"",""柱坐标下""]",boundary_members,"[{""source_id"":""1079"",""entity_id"":""C01:K:1079"",""label"":""直角坐标下"",""resolution"":""direct""},{""source_id"":""1080"",""entity_id"":""C01:K:1080"",""label"":""柱坐标下"",""resolution"":""direct""}]",[]
C01:CALL:1858,C01,高等数学,1858,三重积分,1102,"[""C01:K:1102""]","[""引力""]",direct,"[{""source_id"":""1102"",""entity_id"":""C01:K:1102"",""label"":""引力"",""resolution"":""direct""}]",[]
C01:CALL:1860,C01,高等数学,1860,二重积分,1859,"[""C01:K:1096"",""C01:K:1098"",""C01:K:1100""]","[""曲面的面积"",""质心"",""转动惯量""]",boundary_members,"[{""source_id"":""1096"",""entity_id"":""C01:K:1096"",""label"":""曲面的面积"",""resolution"":""direct""},{""source_id"":""1098"",""entity_id"":""C01:K:1098"",""label"":""质心"",""resolution"":""direct""},{""source_id"":""1100"",""entity_id"":""C01:K:1100"",""label"":""转动惯量"",""resolution"":""direct""}]",[]
C01:CALL:1863,C01,高等数学,1863,"P(x, y), Q(x, y)是F在x, y轴上的分量",1112,"[""C01:K:1112""]","[""对坐标的曲线积分(第二类曲线积分)""]",direct,"[{""source_id"":""1112"",""entity_id"":""C01:K:1112"",""label"":""对坐标的曲线积分(第二类曲线积分)"",""resolution"":""direct""}]",[]
C01:CALL:1864,C01,高等数学,1864,一阶连续偏导数,1149,"[""C01:K:1149""]","[""平面闭区域上的格林公式""]",direct,"[{""source_id"":""1149"",""entity_id"":""C01:K:1149"",""label"":""平面闭区域上的格林公式"",""resolution"":""direct""}]",[]
C01:CALL:1875,C01,高等数学,1875,一阶连续偏导数,1207,"[""C01:K:1207""]","[""空间闭区域上的高斯公式""]",direct,"[{""source_id"":""1207"",""entity_id"":""C01:K:1207"",""label"":""空间闭区域上的高斯公式"",""resolution"":""direct""}]",[]
C01:CALL:1893,C01,高等数学,1893,部分和数列有界,1235,"[""C01:K:1235""]","[""正项级数收敛充要条件""]",direct,"[{""source_id"":""1235"",""entity_id"":""C01:K:1235"",""label"":""正项级数收敛充要条件"",""resolution"":""direct""}]",[]
C01:CALL:1913,C01,高等数学,1913,三角函数系,1338,"[""C01:K:1338""]","[""三角级数""]",direct,"[{""source_id"":""1338"",""entity_id"":""C01:K:1338"",""label"":""三角级数"",""resolution"":""direct""}]",[]
C01:CALL:1916,C01,高等数学,1916,f(x)为奇,1346,"[""C01:K:1346""]","[""正弦级数""]",direct,"[{""source_id"":""1346"",""entity_id"":""C01:K:1346"",""label"":""正弦级数"",""resolution"":""direct""}]",[]
C01:CALL:1917,C01,高等数学,1917,f(x)为偶,1348,"[""C01:K:1348""]","[""余弦级数""]",direct,"[{""source_id"":""1348"",""entity_id"":""C01:K:1348"",""label"":""余弦级数"",""resolution"":""direct""}]",[]
C02:CALL:663,C02,线性代数,663,规定标准次序,108,"[""C02:K:108""]","[""逆序数""]",direct,"[{""source_id"":""108"",""entity_id"":""C02:K:108"",""label"":""逆序数"",""resolution"":""direct""}]",[]
C02:CALL:708,C02,线性代数,708,对应行列式值为0,704,"[""C02:K:704""]","[""奇异矩阵""]",direct,"[{""source_id"":""704"",""entity_id"":""C02:K:704"",""label"":""奇异矩阵"",""resolution"":""direct""}]",[]
C02:CALL:709,C02,线性代数,709,求解n阶线性方程组,234,"[""C02:K:234""]","[""克拉默法则""]",direct,"[{""source_id"":""234"",""entity_id"":""C02:K:234"",""label"":""克拉默法则"",""resolution"":""direct""}]",[]
C02:CALL:755,C02,线性代数,755,单位矩阵进行一次初等变换,337,"[""C02:K:337""]","[""初等矩阵""]",direct,"[{""source_id"":""337"",""entity_id"":""C02:K:337"",""label"":""初等矩阵"",""resolution"":""direct""}]",[]
C02:CALL:795,C02,线性代数,795,增广矩阵初等变换,794,"[""C02:K:780"",""C02:K:370"",""C02:K:372"",""C02:K:374"",""C02:K:376"",""C02:K:786"",""C02:K:782"",""C02:K:784"",""C02:K:378""]","[""n元非齐次"",""定理"",""无解充要条件"",""有唯一解充要条件"",""有无限多解充要条件"",""有解充要条件"",""n元齐次"",""定理"",""有非零解充要条件""]",boundary_members,"[{""source_id"":""780"",""entity_id"":""C02:K:780"",""label"":""n元非齐次"",""resolution"":""direct""},{""source_id"":""370"",""entity_id"":""C02:K:370"",""label"":""定理"",""resolution"":""direct""},{""source_id"":""372"",""entity_id"":""C02:K:372"",""label"":""无解充要条件"",""resolution"":""direct""},{""source_id"":""374"",""entity_id"":""C02:K:374"",""label"":""有唯一解充要条件"",""resolution"":""direct""},{""source_id"":""376"",""entity_id"":""C02:K:376"",""label"":""有无限多解充要条件"",""resolution"":""direct""},{""source_id"":""786"",""entity_id"":""C02:K:786"",""label"":""有解充要条件"",""resolution"":""direct""},{""source_id"":""782"",""entity_id"":""C02:K:782"",""label"":""n元齐次"",""resolution"":""direct""},{""source_id"":""784"",""entity_id"":""C02:K:784"",""label"":""定理"",""resolution"":""direct""},{""source_id"":""378"",""entity_id"":""C02:K:378"",""label"":""有非零解充要条件"",""resolution"":""direct""}]",[]
C02:CALL:843,C02,线性代数,843,解集的最大无关组,841,"[""C02:K:841""]","[""基础解系""]",direct,"[{""source_id"":""841"",""entity_id"":""C02:K:841"",""label"":""基础解系"",""resolution"":""direct""}]",[]
C02:CALL:847,C02,线性代数,847,运算封闭,479,"[""C02:K:479""]","[""向量空间""]",direct,"[{""source_id"":""479"",""entity_id"":""C02:K:479"",""label"":""向量空间"",""resolution"":""direct""}]",[]
C02:CALL:850,C02,线性代数,850,线性无关且其余都可线性表示,485,"[""C02:K:485""]","[""基""]",direct,"[{""source_id"":""485"",""entity_id"":""C02:K:485"",""label"":""基"",""resolution"":""direct""}]",[]
C02:CALL:856,C02,线性代数,856,向量用基表示的系数,487,"[""C02:K:487""]","[""向量在基下的坐标""]",direct,"[{""source_id"":""487"",""entity_id"":""C02:K:487"",""label"":""向量在基下的坐标"",""resolution"":""direct""}]",[]
C02:CALL:870,C02,线性代数,870,单位正交向量,511,"[""C02:K:511""]","[""标准正交基""]",direct,"[{""source_id"":""511"",""entity_id"":""C02:K:511"",""label"":""标准正交基"",""resolution"":""direct""}]",[]
C02:CALL:873,C02,线性代数,873,逆等于转置,519,"[""C02:K:519""]","[""正交矩阵""]",direct,"[{""source_id"":""519"",""entity_id"":""C02:K:519"",""label"":""正交矩阵"",""resolution"":""direct""}]",[]
C02:CALL:874,C02,线性代数,874,左乘正交矩阵,523,"[""C02:K:523""]","[""正交变换""]",direct,"[{""source_id"":""523"",""entity_id"":""C02:K:523"",""label"":""正交变换"",""resolution"":""direct""}]",[]
C02:CALL:889,C02,线性代数,889,求出特征值与特征向量再正交化，最后按列排序,549,"[""C02:K:549""]","[""矩阵对角化""]",direct,"[{""source_id"":""549"",""entity_id"":""C02:K:549"",""label"":""矩阵对角化"",""resolution"":""direct""}]",[]
C02:CALL:909,C02,线性代数,909,对应矩阵的秩,616,"[""C02:K:616""]","[""二次型f的秩""]",direct,"[{""source_id"":""616"",""entity_id"":""C02:K:616"",""label"":""二次型f的秩"",""resolution"":""direct""}]",[]
C03:CALL:862,C03,概率论与数理统计,862,求出函数值对应找概率,388,"[""C03:K:388""]","[""离散型""]",direct,"[{""source_id"":""388"",""entity_id"":""C03:K:388"",""label"":""离散型"",""resolution"":""direct""}]",[]
C03:CALL:863,C03,概率论与数理统计,863,复合函数的概念,860,"[""C03:K:860""]","[""连续型随机变量函数概率密度求法""]",direct,"[{""source_id"":""860"",""entity_id"":""C03:K:860"",""label"":""连续型随机变量函数概率密度求法"",""resolution"":""direct""}]",[]
C03:CALL:953,C03,概率论与数理统计,953,单个随机变量,466,"[""C03:K:466""]","[""方差""]",direct,"[{""source_id"":""466"",""entity_id"":""C03:K:466"",""label"":""方差"",""resolution"":""direct""}]",[]
C03:CALL:954,C03,概率论与数理统计,954,两个随机变量,484,"[""C03:K:484""]","[""协方差""]",direct,"[{""source_id"":""484"",""entity_id"":""C03:K:484"",""label"":""协方差"",""resolution"":""direct""}]",[]
C03:CALL:1004,C03,概率论与数理统计,1004,样本矩=总体矩,662,"[""C03:K:662""]","[""矩估计法""]",direct,"[{""source_id"":""662"",""entity_id"":""C03:K:662"",""label"":""矩估计法"",""resolution"":""direct""}]",[]
C03:CALL:1009,C03,概率论与数理统计,1009,似然函数取最大值(通常取对数),664,"[""C03:K:664""]","[""最大似然估计""]",direct,"[{""source_id"":""664"",""entity_id"":""C03:K:664"",""label"":""最大似然估计"",""resolution"":""direct""}]",[]
C03:CALL:1012,C03,概率论与数理统计,1012,估计量均值=总体均值,668,"[""C03:K:668""]","[""估计量的无偏性""]",direct,"[{""source_id"":""668"",""entity_id"":""C03:K:668"",""label"":""估计量的无偏性"",""resolution"":""direct""}]",[]
C03:CALL:1013,C03,概率论与数理统计,1013,方差小的估计量更有效,670,"[""C03:K:670""]","[""有效性""]",direct,"[{""source_id"":""670"",""entity_id"":""C03:K:670"",""label"":""有效性"",""resolution"":""direct""}]",[]
C03:CALL:1015,C03,概率论与数理统计,1015,依概率收敛于总体,672,"[""C03:K:672""]","[""相合性""]",direct,"[{""source_id"":""672"",""entity_id"":""C03:K:672"",""label"":""相合性"",""resolution"":""direct""}]",[]
C03:CALL:1071,C03,概率论与数理统计,1071,一般控制犯第一类错误的概率,766,"[""C03:K:766""]","[""第一类错误(弃真)""]",direct,"[{""source_id"":""766"",""entity_id"":""C03:K:766"",""label"":""第一类错误(弃真)"",""resolution"":""direct""}]",[]
C03:CALL:1097,C03,概率论与数理统计,1097,求参数(1-显著性水平)的置信区间,1090,"[""C03:K:1090""]","[""4、求出拒绝域""]",direct,"[{""source_id"":""1090"",""entity_id"":""C03:K:1090"",""label"":""4、求出拒绝域"",""resolution"":""direct""}]",[]
C03:CALL:1102,C03,概率论与数理统计,1102,包含双边和单边,1100,"[""C03:K:1100""]","[""正态总体假设检验""]",direct,"[{""source_id"":""1100"",""entity_id"":""C03:K:1100"",""label"":""正态总体假设检验"",""resolution"":""direct""}]",[]
C05:CALL:1179,C05,离散数学,1179,等价式是重言式,1177,"[""C05:K:1177""]","[""等值的""]",direct,"[{""source_id"":""1177"",""entity_id"":""C05:K:1177"",""label"":""等值的"",""resolution"":""direct""}]",[]
C05:CALL:1261,C05,离散数学,1261,与映射类似,607,"[""C05:K:607""]","[""二元关系""]",direct,"[{""source_id"":""607"",""entity_id"":""C05:K:607"",""label"":""二元关系"",""resolution"":""direct""}]",[]
C05:CALL:1263,C05,离散数学,1263,关系矩阵和关系图的特点,1262,"[""C05:K:664"",""C05:K:666"",""C05:K:668""]","[""自反性、反自反性"",""对称性、反对称性"",""传递性""]",boundary_members,"[{""source_id"":""664"",""entity_id"":""C05:K:664"",""label"":""自反性、反自反性"",""resolution"":""direct""},{""source_id"":""666"",""entity_id"":""C05:K:666"",""label"":""对称性、反对称性"",""resolution"":""direct""},{""source_id"":""668"",""entity_id"":""C05:K:668"",""label"":""传递性"",""resolution"":""direct""}]",[]
C05:CALL:1269,C05,离散数学,1269,函数最(极)大值、确界问题,1268,"[""C05:K:712"",""C05:K:714""]","[""最小(大)元、极小(大)元"",""上(下)界、上(下)确界""]",boundary_members,"[{""source_id"":""712"",""entity_id"":""C05:K:712"",""label"":""最小(大)元、极小(大)元"",""resolution"":""direct""},{""source_id"":""714"",""entity_id"":""C05:K:714"",""label"":""上(下)界、上(下)确界"",""resolution"":""direct""}]",[]
C10:CALL:1247,C10,计算机网络,1247,查询更快,1153,"[""C10:K:1153""]","[""高速缓存""]",direct,"[{""source_id"":""1153"",""entity_id"":""C10:K:1153"",""label"":""高速缓存"",""resolution"":""direct""}]",[]
C10:CALL:1248,C10,计算机网络,1248,更快,1037,"[""C10:K:1037""]","[""Web缓存/代理服务器技术""]",direct,"[{""source_id"":""1037"",""entity_id"":""C10:K:1037"",""label"":""Web缓存/代理服务器技术"",""resolution"":""direct""}]",[]
C11:CALL:3749,C11,编译原理,3749,非递归方法,3660,"[""C11:K:3660""]","[""预测分析程序""]",direct,"[{""source_id"":""3660"",""entity_id"":""C11:K:3660"",""label"":""预测分析程序"",""resolution"":""direct""}]",[]
C11:CALL:5122,C11,编译原理,5122,与AST的区别,5120,"[""C11:K:5120""]","[""在一个DAG中代表公共子表达式的结点具有多个父结点""]",direct,"[{""source_id"":""5120"",""entity_id"":""C11:K:5120"",""label"":""在一个DAG中代表公共子表达式的结点具有多个父结点"",""resolution"":""direct""}]",[]
C11:CALL:5133,C11,编译原理,5133,对AST进行简化,5114,"[""C11:K:5114""]","[""有向无环图(DAG)""]",direct,"[{""source_id"":""5114"",""entity_id"":""C11:K:5114"",""label"":""有向无环图(DAG)"",""resolution"":""direct""}]",[]
C11:CALL:5421,C11,编译原理,5421,赋值语句,5028,"[""C11:K:5028""]","[""语义分析和中间代码生成2""]",direct,"[{""source_id"":""5028"",""entity_id"":""C11:K:5028"",""label"":""语义分析和中间代码生成2"",""resolution"":""direct""}]",[]
C11:CALL:5654,C11,编译原理,5654,关键字：跳转,5227,"[""C11:K:5227""]","[""带优化翻译布尔表达式""]",direct,"[{""source_id"":""5227"",""entity_id"":""C11:K:5227"",""label"":""带优化翻译布尔表达式"",""resolution"":""direct""}]",[]
C11:CALL:5779,C11,编译原理,5779,文法改造和回填,5034,"[""C11:K:5034""]","[""语义分析和中间代码生成4""]",direct,"[{""source_id"":""5034"",""entity_id"":""C11:K:5034"",""label"":""语义分析和中间代码生成4"",""resolution"":""direct""}]",[]
C11:CALL:5901,C11,编译原理,5901,联系：数据结构和算法,5794,"[""C11:K:5794""]","[""符号表的整理和查找""]",direct,"[{""source_id"":""5794"",""entity_id"":""C11:K:5794"",""label"":""符号表的整理和查找"",""resolution"":""direct""}]",[]
C11:CALL:6350,C11,编译原理,6350,可以得知名字的层数,6037,"[""C11:K:5798""]","[""名字的作用域分析示例编译是如何确定变量的层数(地址)？""]",nearest_ancestor,"[{""source_id"":""6037"",""entity_id"":""C11:K:5798"",""label"":""名字的作用域分析示例编译是如何确定变量的层数(地址)？"",""resolution"":""nearest_ancestor""}]",[]
C11:CALL:8145,C11,编译原理,8145,语法,1576,"[""C11:K:1576""]","[""标识符""]",direct,"[{""source_id"":""1576"",""entity_id"":""C11:K:1576"",""label"":""标识符"",""resolution"":""direct""}]",[]
C11:CALL:8146,C11,编译原理,8146,语义,1580,"[""C11:K:1580""]","[""名字""]",direct,"[{""source_id"":""1580"",""entity_id"":""C11:K:1580"",""label"":""名字"",""resolution"":""direct""}]",[]
C11:CALL:8149,C11,编译原理,8149,联系：C语言,1339,"[""C11:K:1339""]","[""2.高级程序设计语言概述""]",direct,"[{""source_id"":""1339"",""entity_id"":""C11:K:1339"",""label"":""2.高级程序设计语言概述"",""resolution"":""direct""}]",[]
C11:CALL:8150,C11,编译原理,8150,简化描述,1925,"[""C11:K:1925""]","[""巴科斯范式(BNF)""]",direct,"[{""source_id"":""1925"",""entity_id"":""C11:K:1925"",""label"":""巴科斯范式(BNF)"",""resolution"":""direct""}]",[]
C11:CALL:8155,C11,编译原理,8155,文法用于描述语言,1821,"[""C11:K:1821""]","[""文法与语言""]",direct,"[{""source_id"":""1821"",""entity_id"":""C11:K:1821"",""label"":""文法与语言"",""resolution"":""direct""}]",[]
C11:CALL:8156,C11,编译原理,8156,语法树可以判定二义性,2022,"[""C11:K:2022""]","[""语法树与二义性""]",direct,"[{""source_id"":""2022"",""entity_id"":""C11:K:2022"",""label"":""语法树与二义性"",""resolution"":""direct""}]",[]
C11:CALL:8157,C11,编译原理,8157,由语法分析器驱动,2254,"[""C11:K:2254""]","[""词法分析器在编译器中地位""]",direct,"[{""source_id"":""2254"",""entity_id"":""C11:K:2254"",""label"":""词法分析器在编译器中地位"",""resolution"":""direct""}]",[]
C11:CALL:8159,C11,编译原理,8159,简化与效率,2244,"[""C11:K:2244""]","[""词法分析器作为一个独立子程序""]",direct,"[{""source_id"":""2244"",""entity_id"":""C11:K:2244"",""label"":""词法分析器作为一个独立子程序"",""resolution"":""direct""}]",[]
C11:CALL:8165,C11,编译原理,8165,易于人工设计,2503,"[""C11:K:2503""]","[""非确定有限自动机""]",direct,"[{""source_id"":""2503"",""entity_id"":""C11:K:2503"",""label"":""非确定有限自动机"",""resolution"":""direct""}]",[]
C11:CALL:8166,C11,编译原理,8166,易于程序化,2577,"[""C11:K:2577""]","[""确定有限自动机""]",direct,"[{""source_id"":""2577"",""entity_id"":""C11:K:2577"",""label"":""确定有限自动机"",""resolution"":""direct""}]",[]
C11:CALL:8185,C11,编译原理,8185,词法分析和语法分析基础,1817,"[""C11:K:1817""]","[""3.高级程序设计语言的语法描述""]",direct,"[{""source_id"":""1817"",""entity_id"":""C11:K:1817"",""label"":""3.高级程序设计语言的语法描述"",""resolution"":""direct""}]",[]
C11:CALL:7418,C11,编译原理,7418,直接推出,3801,"[""C11:K:3801""]","[""直接短语""]",direct,"[{""source_id"":""3801"",""entity_id"":""C11:K:3801"",""label"":""直接短语"",""resolution"":""direct""}]",[]
