id,course_id,course_name,source_shape_id,source_id,source_entity_type,source_label,target_id,target_entity_type,target_label,relation_text,raw_relation_text,relation_status,direction,source_resolution,target_resolution
C01:R:1808,C01,高等数学,1808,C01:K:814,knowledge,二重极限,C01:K:816,knowledge,二元函数连续性,极限等于函数值,极限等于函数值,named,forward,direct,direct
C01:R:1836,C01,高等数学,1836,C01:K:916,knowledge,方向导数,C01:K:843,knowledge,全微分,可微则存在,可微则存在,named,forward,direct,direct
C01:R:1849,C01,高等数学,1849,C01:B:1848,boundary_group,,C01:K:1027,knowledge,包含,类似,类似,named,forward,direct,direct
C01:R:1876,C01,高等数学,1876,C01:K:1149,knowledge,平面闭区域上的格林公式,C01:F:1213,floating_root,斯托克斯公式,,标签,unlabeled,forward,direct,direct
C01:R:1877,C01,高等数学,1877,C01:K:1207,knowledge,空间闭区域上的高斯公式,C01:F:1213,floating_root,斯托克斯公式,,标签,unlabeled,forward,direct,direct
C01:R:1892,C01,高等数学,1892,C01:K:1217,knowledge,常数项级数,C01:K:1891,knowledge,收敛,部分和数列极限存在,部分和数列极限存在,named,forward,direct,direct
C01:R:1900,C01,高等数学,1900,C01:K:1324,knowledge,泰勒级数(泰勒展开式),C01:K:1332,knowledge,麦克劳林级数(麦克劳林展开式),x=0,x=0,named,forward,direct,direct
C02:R:116,C02,线性代数,116,C02:K:108,knowledge,逆序数,C02:K:112,knowledge,奇排列,为奇,为奇,named,forward,direct,direct
C02:R:117,C02,线性代数,117,C02:K:108,knowledge,逆序数,C02:K:114,knowledge,偶排列,为偶,为偶,named,forward,direct,direct
C02:R:343,C02,线性代数,343,C02:K:337,knowledge,初等矩阵,C02:K:309,knowledge,初等行变换,行变换左乘初等,行变换左乘初等,named,forward,direct,direct
C02:R:347,C02,线性代数,347,C02:K:337,knowledge,初等矩阵,C02:K:311,knowledge,初等列变换,列变换右乘初等,列变换右乘初等,named,forward,direct,direct
C02:R:551,C02,线性代数,551,C02:K:525,knowledge,方阵的特征值与特征向量,C02:K:549,knowledge,矩阵对角化,求正交阵,求正交阵,named,forward,direct,direct
C02:R:690,C02,线性代数,690,C02:K:212,knowledge,矩阵转置,C02:K:214,knowledge,对称矩阵,转置等于本身,转置等于本身,named,forward,direct,direct
C02:R:701,C02,线性代数,701,C02:K:162,knowledge,代数余子式,C02:K:220,knowledge,伴随矩阵,行列式的代数余子式,行列式的代数余子式,named,forward,direct,direct
C02:R:744,C02,线性代数,744,C02:K:327,knowledge,矩阵等价,C02:K:305,knowledge,矩阵初等变换,可初等变换得,可初等变换得,named,forward,direct,direct
C02:R:800,C02,线性代数,800,C02:K:798,knowledge,"AB=C, 则R(C)<=min{R(A), R(B)}",C02:K:791,knowledge,有解充要条件,,标签,unlabeled,forward,direct,direct
C02:R:809,C02,线性代数,809,C02:K:801,knowledge,n维向量,C02:K:388,knowledge,向量组,组成的集合,组成的集合,named,forward,direct,direct
C02:R:819,C02,线性代数,819,C02:K:817,knowledge,向量组等价,C02:K:814,knowledge,向量组间线性表示,可相互线性表示,可相互线性表示,named,forward,direct,direct
C02:R:834,C02,线性代数,834,C02:K:827,knowledge,最大线性无关组,C02:K:412,knowledge,向量组的线性相关,,标签,unlabeled,forward,direct,direct
C02:R:835,C02,线性代数,835,C02:K:420,knowledge,向量组的秩,C02:K:398,knowledge,定理,可引申为向量组的秩,可引申为向量组的秩,named,forward,direct,direct
C02:R:837,C02,线性代数,837,C02:K:822,knowledge,向量组等价充要条件,C02:F:836,floating_root,矩阵的秩,,标签,unlabeled,forward,direct,direct
C02:R:838,C02,线性代数,838,C02:K:416,knowledge,向量组线性相关充要条件,C02:F:836,floating_root,矩阵的秩,,标签,unlabeled,forward,direct,direct
C02:R:839,C02,线性代数,839,C02:K:402,knowledge,向量组可由向量组线性表示充要条件,C02:F:836,floating_root,矩阵的秩,,标签,unlabeled,forward,direct,direct
C02:R:840,C02,线性代数,840,C02:K:410,knowledge,向量组可线性表示则秩小,C02:F:836,floating_root,矩阵的秩,,标签,unlabeled,forward,direct,direct
C02:R:844,C02,线性代数,844,C02:K:368,knowledge,线性方程组的解,C02:K:436,knowledge,线性方程组解的结构,,标签,unlabeled,forward,direct,direct
C02:R:853,C02,线性代数,853,C02:K:485,knowledge,基,C02:K:851,knowledge,维数,个数,个数,named,forward,direct,direct
C02:R:861,C02,线性代数,861,C02:K:487,knowledge,向量在基下的坐标,C02:K:859,knowledge,自然基,坐标为分量,坐标为分量,named,forward,direct,direct
C02:R:890,C02,线性代数,890,C02:CALL:889,callout,求出特征值与特征向量再正交化，最后按列排序,C02:K:513,knowledge,施密特(Schmidt)正交化,,标签,unlabeled,forward,direct,direct
C03:R:593,C03,概率论与数理统计,593,C03:K:577,knowledge,简单随机样本(样本),C03:K:591,knowledge,统计量,样本的函数,样本的函数,named,forward,direct,direct
C03:R:787,C03,概率论与数理统计,787,C03:K:114,knowledge,样本空间,C03:K:785,knowledge,样本点,元素,元素,named,forward,direct,direct
C03:R:797,C03,概率论与数理统计,797,C03:K:790,knowledge,基本事件,C03:K:785,knowledge,样本点,一个样本点,一个样本点,named,forward,direct,direct
C03:R:849,C03,概率论与数理统计,849,C03:K:836,knowledge,全概率公式,C03:K:847,knowledge,划分,,标签,unlabeled,forward,direct,direct
C03:R:842,C03,概率论与数理统计,842,C03:K:840,knowledge,泊松定理,C03:K:356,knowledge,二项分布,泊松分布逼近二项分布,泊松分布逼近二项分布,named,forward,direct,direct
C03:R:951,C03,概率论与数理统计,951,C03:K:466,knowledge,方差,C03:K:470,knowledge,标准差,开根号,开根号,named,forward,direct,direct
C03:R:959,C03,概率论与数理统计,959,C03:K:488,knowledge,相关系数,C03:K:957,knowledge,不相关,=0,=0,named,forward,direct,direct
C03:R:968,C03,概率论与数理统计,968,C03:K:966,knowledge,协方差矩阵(n维),C03:K:484,knowledge,协方差,两两按位置排列,两两按位置排列,named,forward,direct,direct
C03:R:971,C03,概率论与数理统计,971,C03:K:518,knowledge,辛钦大数定律,C03:K:969,knowledge,依概率收敛,极限形式,极限形式,named,forward,direct,direct
C03:R:984,C03,概率论与数理统计,984,C03:K:976,knowledge,容量,C03:K:980,knowledge,有限总体,有限个,有限个,named,forward,direct,direct
C03:R:985,C03,概率论与数理统计,985,C03:K:976,knowledge,容量,C03:K:982,knowledge,无限总体,无限个,无限个,named,forward,direct,direct
C03:R:1014,C03,概率论与数理统计,1014,C03:K:670,knowledge,有效性,C03:K:668,knowledge,估计量的无偏性,只对,只对,named,forward,direct,direct
C03:R:1066,C03,概率论与数理统计,1066,C03:K:1064,knowledge,单侧置信区间,C03:K:1025,knowledge,置信上限(下限),,标签,unlabeled,forward,direct,direct
C05:R:140,C05,离散数学,140,C05:K:130,knowledge,命题赋值(解释),C05:K:134,knowledge,重言式、永真式,均为真,均为真,named,forward,direct,direct
C05:R:141,C05,离散数学,141,C05:K:130,knowledge,命题赋值(解释),C05:K:136,knowledge,矛盾是、永假式,均为假,均为假,named,forward,direct,direct
C05:R:142,C05,离散数学,142,C05:K:130,knowledge,命题赋值(解释),C05:K:138,knowledge,可满足式,至少有一真,至少有一真,named,forward,direct,direct
C05:R:318,C05,离散数学,318,C05:K:311,knowledge,简单合取式,C05:K:228,knowledge,析取范式,有限个析取,有限个析取,named,forward,direct,direct
C05:R:330,C05,离散数学,330,C05:K:309,knowledge,简单析取式,C05:K:230,knowledge,合取范式,有限个合取,有限个合取,named,forward,direct,direct
C05:R:348,C05,离散数学,348,C05:K:246,knowledge,极小项(m),C05:K:250,knowledge,主析取范式,极小项析取,极小项析取,named,forward,direct,direct
C05:R:349,C05,离散数学,349,C05:K:265,knowledge,极大项(M),C05:K:274,knowledge,主合取范式,极大项合取,极大项合取,named,forward,direct,direct
C05:R:382,C05,离散数学,382,C05:K:380,knowledge,判断蕴含式是否为重言式,C05:K:301,knowledge,等值式,,标签,unlabeled,forward,direct,direct
C05:R:461,C05,离散数学,461,C05:K:455,knowledge,自由出现,C05:K:459,knowledge,闭式,无自由出现,无自由出现,named,forward,direct,direct
C05:R:477,C05,离散数学,477,C05:K:472,knowledge,赋值,C05:K:455,knowledge,自由出现,只对自由出现,只对自由出现,named,forward,direct,direct
C05:R:497,C05,离散数学,497,C05:K:492,knowledge,量词等值式,C05:K:486,knowledge,代换实例,推导方法,推导方法,named,forward,direct,direct
C05:R:514,C05,离散数学,514,C05:K:128,knowledge,命题(合式)公式,C05:K:224,knowledge,范式,标准型,标准型,named,forward,direct,direct
C05:R:515,C05,离散数学,515,C05:K:441,knowledge,一阶逻辑公式,C05:K:510,knowledge,前束范式,标准型,标准型,named,forward,direct,direct
C05:R:609,C05,离散数学,609,C05:K:607,knowledge,二元关系,C05:K:522,knowledge,集合,有序对的集合,有序对的集合,named,forward,direct,direct
C05:R:784,C05,离散数学,784,C05:K:778,knowledge,n阶图,C05:K:770,knowledge,顶点,n个顶点,n个顶点,named,forward,direct,direct
C05:R:787,C05,离散数学,787,C05:K:780,knowledge,零图,C05:K:774,knowledge,无向边/有向边,没有边,没有边,named,forward,direct,direct
C05:R:790,C05,离散数学,790,C05:K:782,knowledge,平凡图,C05:K:780,knowledge,零图,1阶零图,1阶零图,named,forward,direct,direct
C05:R:946,C05,离散数学,946,C05:K:944,knowledge,空图,C05:K:770,knowledge,顶点,没有顶点,没有顶点,named,forward,direct,direct
C05:R:997,C05,离散数学,997,C05:K:989,knowledge,简单图,C05:K:993,knowledge,平行边,不含平行边不含环,不含平行边不含环,named,forward,direct,direct
C05:R:1056,C05,离散数学,1056,C05:K:1036,knowledge,通路(回路),C05:K:1054,knowledge,连通,存在通路,存在通路,named,forward,direct,direct
C05:R:1180,C05,离散数学,1180,C05:K:352,knowledge,主范式,C05:K:250,knowledge,主析取范式,,标签,unlabeled,forward,direct,direct
C05:R:1181,C05,离散数学,1181,C05:K:352,knowledge,主范式,C05:K:274,knowledge,主合取范式,,标签,unlabeled,forward,direct,direct
C05:R:1201,C05,离散数学,1201,C05:K:356,knowledge,与非联结词,C05:K:1199,knowledge,常见联结词全功能集,,标签,unlabeled,forward,direct,direct
C05:R:1202,C05,离散数学,1202,C05:K:358,knowledge,或非联结词,C05:K:1199,knowledge,常见联结词全功能集,,标签,unlabeled,forward,direct,direct
C05:R:1242,C05,离散数学,1242,C05:K:520,knowledge,子集合(子集),C05:K:1240,knowledge,集合相等,互为子集,互为子集,named,forward,direct,direct
C05:R:1251,C05,离散数学,1251,C05:K:526,knowledge,n元集,C05:K:528,knowledge,m元子集,,标签,unlabeled,both,direct,direct
C05:R:1260,C05,离散数学,1260,C05:K:612,knowledge,A到B的二元关系,C05:K:622,knowledge,A上的二元关系,A=B,A=B,named,forward,direct,direct
C05:R:1297,C05,离散数学,1297,C05:F:1296,floating_root,饱和点,C05:K:1294,knowledge,完美匹配,引出,引出,named,forward,direct,direct
C06:R:1637,C06,高级语言程序设计（C语言）,1637,C06:K:106,knowledge,循环语句循环语句和分支语句都会进行判断，判断值为真或者假，所以二者跟关系运算符和逻辑与算符有关 他们呢的判断结果都与真假有关 使用的循环语句经常与数组在一起,C06:K:128,knowledge,分支语句,相互套用,相互套用,named,forward,direct,direct
C06:R:1638,C06,高级语言程序设计（C语言）,1638,C06:K:106,knowledge,循环语句循环语句和分支语句都会进行判断，判断值为真或者假，所以二者跟关系运算符和逻辑与算符有关 他们呢的判断结果都与真假有关 使用的循环语句经常与数组在一起,C06:K:144,knowledge,break和continue语句,利用,利用,named,forward,direct,direct
C06:R:1639,C06,高级语言程序设计（C语言）,1639,C06:K:136,knowledge,switch语句,C06:K:148,knowledge,break语句break语句和continue语句功能相似 都是退出循环的操作 但是二者的范围不同,依赖,依赖,named,forward,direct,direct
C06:R:1640,C06,高级语言程序设计（C语言）,1640,C06:K:184,knowledge,数据类型,C06:K:196,knowledge,类型限定符,依赖,依赖,named,forward,direct,direct
C06:R:1641,C06,高级语言程序设计（C语言）,1641,C06:K:188,knowledge,char（字符型）,C06:K:190,knowledge,int（整形）,对应,对应,named,forward,direct,direct
C06:R:1642,C06,高级语言程序设计（C语言）,1642,C06:K:332,knowledge,字符常量,C06:K:352,knowledge,字符串常量,组成,组成,named,forward,direct,direct
C06:R:1643,C06,高级语言程序设计（C语言）,1643,C06:K:358,knowledge,符号常量(宏定义),C06:K:286,knowledge,typedef相比起宏定义的直接替换，typedef是对类型的封装,区别,区别,named,forward,direct,direct
C06:R:1644,C06,高级语言程序设计（C语言）,1644,C06:K:470,knowledge,结构体类型内存空间占用的不同。 结构体 同一时间 所有的域都可以用。 联合体 只有一个域可用。,C06:K:504,knowledge,联合类型,对立,对立,named,forward,direct,direct
C06:R:1645,C06,高级语言程序设计（C语言）,1645,C06:K:576,knowledge,关系操作符运算的结果是布尔值 并且二者可以结合在一起写,C06:K:620,knowledge,逻辑操作符,相似,相似,named,forward,direct,direct
C06:R:1646,C06,高级语言程序设计（C语言）,1646,C06:K:816,knowledge,指针（数组）指针（数组）的运算里面指针指向的是数组的首地址，也就是第一个字符的地址； 数组指针里面指针是指向的整个数组的地址,C06:K:860,knowledge,数组指针,区别,区别,named,forward,direct,direct
C07:R:1887,C07,数据结构,1887,C07:K:646,knowledge,分治算法的时间复杂度计算,C07:K:354,knowledge,快速排序,快速排序是内部排序中平均性能最优的排序算法O（nlog2n）,快速排序是内部排序中平均性能最优的排序算法O（nlog2n）,named,forward,direct,direct
C07:R:1889,C07,数据结构,1889,C07:K:294,chapter,排序,C07:K:616,knowledge,算法的复杂度,复杂度是各种排序算法优劣的重要指标,复杂度是各种排序算法优劣的重要指标,named,forward,direct,direct
C07:R:1890,C07,数据结构,1890,C07:K:706,knowledge,递归的优缺点,C07:K:1036,knowledge,二叉树的遍历,二叉树可递归与非递归遍历，当树的层次较深时他们的优缺点将会体现,二叉树可递归与非递归遍历，当树的层次较深时他们的优缺点将会体现,named,forward,direct,direct
C07:R:1891,C07,数据结构,1891,C07:K:700,knowledge,回溯法,C07:K:460,knowledge,深度优先,回溯法是一种递归的方法，它的基本思想与图的深度优先遍历类似,回溯法是一种递归的方法，它的基本思想与图的深度优先遍历类似,named,forward,direct,direct
C07:R:1903,C07,数据结构,1903,C07:K:752,chapter,队列（在操作系统中运用也非常广泛，例如数据缓冲区、CPU资源竞争等）,C07:K:1861,chapter,线性表（C语言中学习了结构体变量，结点需要用结构体变量来表示其不同的数据，它们有内在联系并且成组出现）,一端插入数据，另一端删除数据的特殊的线性表,一端插入数据，另一端删除数据的特殊的线性表,named,forward,direct,direct
C07:R:1904,C07,数据结构,1904,C07:K:716,chapter,栈,C07:K:1861,chapter,线性表（C语言中学习了结构体变量，结点需要用结构体变量来表示其不同的数据，它们有内在联系并且成组出现）,只允许一端插入数据和删除数据的特殊线性表,只允许一端插入数据和删除数据的特殊线性表,named,forward,direct,direct
C07:R:1905,C07,数据结构,1905,C07:K:768,knowledge,多次入队列、出队列操作后出现的尚有存储空间但不能进行入队列操作的溢出,C07:K:774,knowledge,循环队列,为了解决假溢出浪费空间现象引出了循环队列,为了解决假溢出浪费空间现象引出了循环队列,named,forward,direct,direct
C07:R:1906,C07,数据结构,1906,C07:K:724,knowledge,顺序栈,C07:K:660,chapter,递归（虽然在数据结构中没有重点讲解递归，但是在这门课中非常重要）,在递归调用过程中，需要开辟递归调用栈来进行数据存储,在递归调用过程中，需要开辟递归调用栈来进行数据存储,named,forward,direct,direct
C07:R:1907,C07,数据结构,1907,C07:K:752,chapter,队列（在操作系统中运用也非常广泛，例如数据缓冲区、CPU资源竞争等）,C07:K:1044,knowledge,层序,队列在层序遍历中运用,队列在层序遍历中运用,named,forward,direct,direct
C07:R:1908,C07,数据结构,1908,C07:K:716,chapter,栈,C07:K:1036,knowledge,二叉树的遍历,二叉树的多种操作中要依靠栈来实现,二叉树的多种操作中要依靠栈来实现,named,forward,direct,direct
C07:R:1883,C07,数据结构,1883,C07:K:102,chapter,B树,C07:K:200,knowledge,树结构,多路平衡查找树,多路平衡查找树,named,forward,direct,direct
C07:R:1888,C07,数据结构,1888,C07:K:1198,knowledge,搜索,C07:K:182,knowledge,顺序表,最坏情况为单支树，实际相当于顺序查找,最坏情况为单支树，实际相当于顺序查找,named,forward,direct,direct
C07:R:1892,C07,数据结构,1892,C07:K:1198,knowledge,搜索,C07:K:198,knowledge,平衡二叉树,最好情况为平衡二叉树,最好情况为平衡二叉树,named,forward,direct,direct
C07:R:1894,C07,数据结构,1894,C07:K:1148,knowledge,堆的应用,C07:K:806,knowledge,优先级队列,用堆实现优先级队列,用堆实现优先级队列,named,forward,direct,direct
C07:R:1895,C07,数据结构,1895,C07:K:1148,knowledge,堆的应用,C07:K:340,knowledge,堆排序,运用堆进行排序,运用堆进行排序,named,forward,direct,direct
C07:R:1764,C07,数据结构,1764,C07:K:462,knowledge,广度优先,C07:K:752,chapter,队列（在操作系统中运用也非常广泛，例如数据缓冲区、CPU资源竞争等）,广度优先搜索用队列实现,广度优先搜索用队列实现,named,forward,direct,direct
C07:R:1752,C07,数据结构,1752,C07:K:652,knowledge,递归算法的时间复杂度计算,C07:K:660,chapter,递归（虽然在数据结构中没有重点讲解递归，但是在这门课中非常重要）,分析递归函数，将问题转化为一个递归方程来求解,分析递归函数，将问题转化为一个递归方程来求解,named,forward,direct,direct
C07:R:1761,C07,数据结构,1761,C07:K:990,knowledge,满二叉树,C07:K:994,knowledge,完全二叉树,当且仅当其每个节点都与满二叉树的编号一样时，成为完全二叉树,当且仅当其每个节点都与满二叉树的编号一样时，成为完全二叉树,named,forward,direct,direct
C07:R:1729,C07,数据结构,1729,C07:K:994,knowledge,完全二叉树,C07:K:1116,chapter,堆（内存中的堆栈和数据结构堆栈不是一个概念，可以说内存中的堆栈是真实存在的物理区，数据结构中的堆栈是抽象的数据存储结构。）,堆必须是完全二叉树,堆必须是完全二叉树,named,forward,direct,direct
C07:R:1898,C07,数据结构,1898,C07:K:1843,knowledge,顺序表,C07:K:1896,knowledge,产生原因：顺序表插入删除需要移动大量元素,,标签,unlabeled,forward,direct,direct
C07:R:1899,C07,数据结构,1899,C07:K:1833,knowledge,单链表,C07:K:1879,knowledge,产生原因：单链表访问前驱结点时只能从头开始遍历,,标签,unlabeled,forward,direct,direct
C07:R:1900,C07,数据结构,1900,C07:K:1833,knowledge,单链表,C07:K:1869,knowledge,产生原因：单链表只能从开头遍历，而它可以从任何位置,,标签,unlabeled,forward,direct,direct
C08:R:2312,C08,计算机组成原理,2312,C08:K:110,knowledge,硬件,C08:K:134,knowledge,软件,对立,对立,named,forward,direct,direct
C09:R:1056,C09,操作系统,1056,C09:K:202,knowledge,进程,C09:K:204,knowledge,线程,一个进程可以拥有多个线程,一个进程可以拥有多个线程,named,forward,direct,direct
C09:R:1059,C09,操作系统,1059,C09:K:429,knowledge,必要条件,C09:K:439,knowledge,死锁预防,破坏必要条件,破坏必要条件,named,forward,direct,direct
C09:R:1060,C09,操作系统,1060,C09:K:333,knowledge,调度准则,C09:K:347,knowledge,调度算法,不同算法侧重不同的评价标准,不同算法侧重不同的评价标准,named,forward,direct,direct
C09:R:1061,C09,操作系统,1061,C09:K:202,knowledge,进程,C09:K:266,knowledge,与进程比较,,标签,unlabeled,forward,direct,direct
C09:R:1063,C09,操作系统,1063,C09:K:176,knowledge,中断机制,C09:K:178,knowledge,系统调用,陷入指令（自愿中断）,陷入指令（自愿中断）,named,forward,direct,direct
C09:R:1064,C09,操作系统,1064,C09:K:311,knowledge,三级调度,C09:K:347,knowledge,调度算法,不同算法用于不同调度类型,不同算法用于不同调度类型,named,forward,direct,direct
C09:R:1067,C09,操作系统,1067,C09:K:254,knowledge,共享存储,C09:K:258,knowledge,管道通信,管道可以看作共享存储的优化与发展,管道可以看作共享存储的优化与发展,named,forward,direct,direct
C09:R:1069,C09,操作系统,1069,C09:K:534,knowledge,基本分页存储管理,C09:K:588,knowledge,请求分页管理,,标签,unlabeled,forward,direct,direct
C09:R:1070,C09,操作系统,1070,C09:K:534,knowledge,基本分页存储管理,C09:K:538,knowledge,段页式管理方式,,标签,unlabeled,forward,direct,direct
C09:R:1071,C09,操作系统,1071,C09:K:536,knowledge,基本分段存储管理,C09:K:538,knowledge,段页式管理方式,,标签,unlabeled,forward,direct,direct
C09:R:1096,C09,操作系统,1096,C09:K:779,knowledge,文件分配方式,C09:K:815,knowledge,磁盘的结构,,标签,unlabeled,forward,direct,direct
C09:R:1097,C09,操作系统,1097,C09:K:731,knowledge,索引结点,C09:K:743,knowledge,基于索引节点的共享（硬链接）,,标签,unlabeled,forward,direct,direct
C09:R:1100,C09,操作系统,1100,C09:K:709,knowledge,逻辑结构文件本身角度,C09:K:779,knowledge,文件分配方式,,标签,unlabeled,forward,direct,direct
C09:R:1118,C09,操作系统,1118,C09:K:421,knowledge,产生原因,C09:K:423,knowledge,处理策略,,标签,unlabeled,forward,direct,direct
C09:R:1119,C09,操作系统,1119,C09:K:111,chapter,文件管理,C09:K:667,chapter,I/O管理,I/O对设备文件进行读写,I/O对设备文件进行读写,named,forward,direct,direct
C09:R:1122,C09,操作系统,1122,C09:K:107,chapter,进程管理,C09:K:109,chapter,内存管理,进程在内存中运行,进程在内存中运行,named,forward,direct,direct
C09:R:1126,C09,操作系统,1126,C09:K:206,knowledge,处理机调度,C09:K:1072,knowledge,临界资源,处理机也是临界资源,处理机也是临界资源,named,forward,direct,direct
C09:R:1127,C09,操作系统,1127,C09:K:1072,knowledge,临界资源,C09:K:419,knowledge,所谓死锁是指多个进程因竞争资源而造成的一种僵局,,标签,unlabeled,forward,direct,direct
C09:R:1131,C09,操作系统,1131,C09:K:818,knowledge,磁盘调度算法,C09:K:1105,knowledge,I/O调度,,标签,unlabeled,forward,direct,direct
C09:R:1142,C09,操作系统,1142,C09:K:319,knowledge,内存调度,C09:K:624,knowledge,页面置换算法,,标签,unlabeled,forward,direct,direct
C09:R:1147,C09,操作系统,1147,C09:K:107,chapter,进程管理,C09:K:111,chapter,文件管理,进程对文件进行操作,进程对文件进行操作,named,forward,direct,direct
